feature,importance
cs_cross_imb1_reference_price_bid_price_near_price_trend_20,0.001129749179355507
cs_zscore_add_wap_trend_log_return_5_near_price_trend_20,0.00112579443003501
cs_divide_price_to_depth_bid_buy_dominance,0.0011038421459915212
ts_diff_wap_trend_ema_fast_10_1,0.0010881999545192228
ts_mean_wap_trend_acceleration_10,0.0010603972726681073
cs_cross_sell_dominance_near_price_trend_20,0.0010562096082124784
ts_macd_signal_wap_mid_deviation_pct,0.001046743845522783
cs_cross_buy_dominance_near_price_trend_20,0.0010388651894145402
ts_bb_pct_near_price_20,0.001020832911888515
cs_divide_buy_dominance_wap_position,0.0010155181462748197
ts_diff_market_urgency_v3_10,0.001010829100952691
vol_slope_1min_4min,0.0010078079464603301
ts_macd_notional_imbalance,0.0009800278522284216
cs_cross_imbalance_size_near_price_trend_20,0.0009787564672251068
ts_macd_hist_wap_trend_velocity,0.0009777368427719912
cs_divide_imb1_far_price_wap_ref_nearfar_deviation,0.0009747512884662658
ts_diff_reference_price_trend_20_5,0.0009602442521789277
ts_diff_wap_trend_ewm_12_imb1_reference_price_wap_10,0.0009379959696942699
cs_cross_bid_notional_wap_trend_log_return_5,0.0009363463736478783
cs_cross_price_to_depth_bid_wap_trend_velocity,0.0009316319547387918
ts_diff_wap_trend_slope_20_1,0.0009090263473148363
ts_bb_lower_ref_nearfar_deviation_20,0.0008943091040776593
ts_bb_lower_imb1_far_price_wap_20,0.0008887903388795897
ask_size,0.0008872196076173909
cs_cross_ref_price_position_near_price_trend_20,0.0008838164339292602
cs_cross_bid_notional_near_price_trend_20,0.0008700934543012574
ts_diff_ref_price_deviation_1,0.0008571470283386439
cs_cross_imb1_reference_price_bid_price_composite_pressure,0.0008555350233533911
ts_diff_wap_mid_deviation_pct_5,0.0008551432240019995
ts_rolling_rank_price_to_depth_bid_5,0.0008318212826924368
cs_zscore_add_wap_trend_ratio_10_30_wap_trend_hist_z_9,0.0008064640969487955
ts_ema_l1_bid_ask_size_ratio_5,0.0008037696404001915
ts_macd_hist_price_to_depth_bid,0.0007771187337078208
cs_zscore_add_near_ask_impact_market_urgency_v3,0.0007734489464198913
ts_macd_signal_wap_trend_acceleration,0.0007594341905186221
cs_cross_imb1_reference_price_ask_price_wap_trend_velocity,0.0007340278038891843
cs_cross_ref_price_position_wap_trend_zscore_15,0.0006954396643649781
ts_bb_pct_wap_trend_ewm_48_imb1_reference_price_wap_20,0.000688736045247257
ts_diff_wap_trend_mock_ratio_3_10,0.0006643944714509783
ts_rolling_rank_market_urgency_5,0.0006613182703754394
cs_zscore_add_ask_size_price_to_depth_bid,0.0006603746871174861
ts_bb_pct_ref_nearfar_deviation_20,0.0006293981789489718
cs_zscore_add_imbalance_buy_sell_flag_imb1_wap_mid_price,0.0006022754282606048
